time;video
0;0,
1;211,43538767395626
2;278,08
3;312,4955044955045
4;314,87936191425723
5;338,8469184890656
6;373,93062438057484
7;392,36726546906186
8;449,16460513796386
9;477,1956305858987
10;360,80632411067194
11;365,0049261083744
12;379,54319761668324
13;351,31542288557216
14;408,79763079960514
15;400,6626746506986
16;433,26858275520317
17;430,5882352941176
18;496,6390532544379
19;534,0579420579421
20;542,7168316831683
21;580,9163346613545
22;591,3353115727003
23;660,7696909272183
24;733,5817641228939
25;752,6633366633366
26;783,2604373757455
27;885,2043435340572
28;924,5861386138614
29;968,0556660039762
30;814,1843409316155
31;632,2544731610338
32;662,5952380952381
33;687,7282717282717
34;752,9870646766169
35;766,7514910536779
36;838,6335650446872
37;865,9384309831182
38;766,4457593688363
39;765,180198019802
40;756,6282306163022
41;623,6898608349901
42;635,5670307845085
43;676,0757726819542
44;670,1065088757397
45;631,2574850299401
46;531,1809145129224
47;551,7131474103586
48;518,007874015748
49;523,6686390532544
50;540,2264150943396
51;569,8926441351889
52;582,5252725470763
